country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent
Philippines,69,5.631,0.807,,0.657,0.558,0.117,0.107,1.293,Asia
Serbia,70,5.603,1.004,,0.854,0.282,0.137,0.039,1.383,Europe
Moldova,71,5.529,0.685,,0.739,0.245,0.181,0,1.328,Europe
Libya,72,5.525,1.044,,0.673,0.416,0.133,0.152,1.303,Africa
Montenegro,73,5.523,1.051,,0.871,0.197,0.142,0.08,1.361,Europe
Tajikistan,74,5.467,0.493,,0.718,0.389,0.23,0.144,1.098,Asia
Croatia,75,5.432,1.155,,0.914,0.296,0.119,0.022,1.266,Europe
Hong Kong,76,5.43,1.438,,1.122,0.44,0.258,0.287,1.277,[null]
Dominican Republic,77,5.425,1.015,,0.779,0.497,0.113,0.101,1.401,North America
Bosnia and Herzegovina,78,5.386,0.945,,0.845,0.212,0.263,0.006,1.212,Europe
Turkey,79,5.373,1.183,,0.808,0.195,0.083,0.106,1.36,Asia
Malaysia,80,5.339,1.221,,0.828,0.508,0.26,0.024,1.171,Asia
Belarus,81,5.323,1.067,,0.789,0.235,0.094,0.142,1.465,Europe
Greece,82,5.287,1.181,,0.999,0.067,0,0.034,1.156,Europe
Mongolia,83,5.285,0.948,,0.667,0.317,0.235,0.038,1.531,Asia
North Macedonia,84,5.274,0.983,,0.838,0.345,0.185,0.034,1.294,[null]
Nigeria,85,5.265,0.696,,0.245,0.426,0.215,0.041,1.111,Africa
Kyrgyzstan,86,5.261,0.551,,0.723,0.508,0.3,0.023,1.438,Asia
Turkmenistan,87,5.247,1.052,,0.657,0.394,0.244,0.028,1.538,Asia
Algeria,88,5.211,1.002,,0.785,0.086,0.073,0.114,1.16,Africa
Morocco,89,5.208,0.801,,0.782,0.418,0.036,0.076,0.782,Africa
Azerbaijan,90,5.208,1.043,,0.769,0.351,0.035,0.182,1.147,Europe
Lebanon,91,5.197,0.987,,0.815,0.216,0.166,0.027,1.224,Asia
Indonesia,92,5.192,0.931,,0.66,0.491,0.498,0.028,1.203,Asia
China,93,5.191,1.029,,0.893,0.521,0.058,0.1,1.125,Asia
Vietnam,94,5.175,0.741,,0.851,0.543,0.147,0.073,1.346,Asia
Bhutan,95,5.082,0.813,,0.604,0.457,0.37,0.167,1.321,Asia
Cameroon,96,5.044,0.549,,0.331,0.381,0.187,0.037,0.91,Africa
Bulgaria,97,5.011,1.092,,0.815,0.311,0.081,0.004,1.513,Europe
Ghana,98,4.996,0.611,,0.486,0.381,0.245,0.04,0.868,Africa
Ivory Coast,99,4.944,0.569,,0.232,0.352,0.154,0.09,0.808,Africa
Nepal,100,4.913,0.446,,0.677,0.439,0.285,0.089,1.226,Asia
Jordan,101,4.906,0.837,,0.815,0.383,0.11,0.13,1.225,Asia
Benin,102,4.883,0.393,,0.397,0.349,0.175,0.082,0.437,Africa
Congo (Brazzaville),103,4.812,0.673,,0.508,0.372,0.105,0.093,0.799,[null]
Gabon,104,4.799,1.057,,0.571,0.295,0.043,0.055,1.183,Africa
Laos,105,4.796,0.764,,0.551,0.547,0.266,0.164,1.03,Asia
South Africa,106,4.722,0.96,,0.469,0.389,0.13,0.055,1.351,Africa
Albania,107,4.719,0.947,,0.874,0.383,0.178,0.027,0.848,Europe
Venezuela,108,4.707,0.96,,0.805,0.154,0.064,0.047,1.427,South America
Cambodia,109,4.7,0.574,,0.637,0.609,0.232,0.062,1.122,Asia
Palestinian Territories,110,4.696,0.657,,0.672,0.225,0.103,0.066,1.247,[null]
Senegal,111,4.681,0.45,,0.571,0.292,0.153,0.072,1.134,Africa
Somalia,112,4.668,0,,0.268,0.559,0.243,0.27,0.698,Africa
Namibia,113,4.639,0.879,,0.477,0.401,0.07,0.056,1.313,Africa
Niger,114,4.628,0.138,,0.366,0.318,0.188,0.102,0.774,Africa
Burkina Faso,115,4.587,0.331,,0.38,0.255,0.177,0.113,1.056,[null]
Armenia,116,4.559,0.85,,0.815,0.283,0.095,0.064,1.055,Europe
Iran,117,4.548,1.1,,0.785,0.305,0.27,0.125,0.842,Asia
Guinea,118,4.534,0.38,,0.375,0.332,0.207,0.086,0.829,Africa
Georgia,119,4.519,0.886,,0.752,0.346,0.043,0.164,0.666,Europe
Gambia,120,4.516,0.308,,0.428,0.382,0.269,0.167,0.939,Africa
Kenya,121,4.509,0.512,,0.581,0.431,0.372,0.053,0.983,Africa
Mauritania,122,4.49,0.57,,0.489,0.066,0.106,0.088,1.167,Africa
Mozambique,123,4.466,0.204,,0.39,0.494,0.197,0.138,0.986,Africa
Tunisia,124,4.461,0.921,,0.815,0.167,0.059,0.055,1,Africa
Bangladesh,125,4.456,0.562,,0.723,0.527,0.166,0.143,0.928,Asia
Iraq,126,4.437,1.043,,0.574,0.241,0.148,0.089,0.98,Asia
Congo (Kinshasa),127,4.418,0.094,,0.357,0.269,0.212,0.053,1.125,[null]
Mali,128,4.39,0.385,,0.308,0.327,0.153,0.052,1.105,Africa
Sierra Leone,129,4.374,0.268,,0.242,0.309,0.252,0.045,0.841,Africa
Sri Lanka,130,4.366,0.949,,0.831,0.47,0.244,0.047,1.265,Asia
Myanmar,131,4.36,0.71,,0.555,0.525,0.566,0.172,1.181,[null]
Chad,132,4.35,0.35,,0.192,0.174,0.198,0.078,0.766,Africa
Ukraine,133,4.332,0.82,,0.739,0.178,0.187,0.01,1.39,Europe
Ethiopia,134,4.286,0.336,,0.532,0.344,0.209,0.1,1.033,Africa
Swaziland,135,4.212,0.811,,0,0.313,0.074,0.135,1.149,Africa
Uganda,136,4.189,0.332,,0.443,0.356,0.252,0.06,1.069,Africa
Egypt,137,4.166,0.913,,0.644,0.241,0.076,0.067,1.039,Africa
Zambia,138,4.107,0.578,,0.426,0.431,0.247,0.087,1.058,Africa
Togo,139,4.085,0.275,,0.41,0.293,0.177,0.085,0.572,Africa
India,140,4.015,0.755,,0.588,0.498,0.2,0.085,0.765,Asia
Liberia,141,3.975,0.073,,0.443,0.37,0.233,0.033,0.922,Africa
Comoros,142,3.973,0.274,,0.505,0.142,0.275,0.078,0.757,Africa
Madagascar,143,3.933,0.274,,0.555,0.148,0.169,0.041,0.916,Africa
Lesotho,144,3.802,0.489,,0.168,0.359,0.107,0.093,1.169,Africa
Burundi,145,3.775,0.046,,0.38,0.22,0.176,0.18,0.447,Africa
Zimbabwe,146,3.663,0.366,,0.433,0.361,0.151,0.089,1.114,Africa
Haiti,147,3.597,0.323,,0.449,0.026,0.419,0.11,0.688,North America
Botswana,148,3.488,1.041,,0.538,0.455,0.025,0.1,1.145,Africa
Syria,149,3.462,0.619,,0.44,0.013,0.331,0.141,0.378,Asia
Malawi,150,3.41,0.191,,0.495,0.443,0.218,0.089,0.56,Africa
Yemen,151,3.38,0.287,,0.463,0.143,0.108,0.077,1.163,Asia
Rwanda,152,3.334,0.359,,0.614,0.555,0.217,0.411,0.711,Africa
Tanzania,153,3.231,0.476,,0.499,0.417,0.276,0.147,0.885,Africa
Afghanistan,154,3.203,0.35,,0.361,0,0.158,0.025,0.517,Asia
Central African Republic,155,3.083,0.026,,0.105,0.225,0.235,0.035,0,Africa
South Sudan,156,2.853,0.306,,0.295,0.01,0.202,0.091,0.575,Africa
