country,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr
Serbia,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043
Greece,79,5.358,1.154,1.202,0.879,0.131,0,0.044
Lebanon,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136
Montenegro,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081
Croatia,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039
Dominican Republic,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106
Algeria,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135
Morocco,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074
China,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103
Azerbaijan,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034
Macedonia,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052
Jordan,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134
Nigeria,91,5.155,0.689,1.172,0.048,0.462,0.201,0.032
Kyrgyzstan,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035
Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.216,0
Mongolia,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032
Vietnam,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079
Indonesia,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018
Bhutan,97,5.082,0.796,1.335,0.527,0.541,0.364,0.171
Somalia,98,4.982,0,0.712,0.115,0.674,0.238,0.282
Cameroon,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043
Bulgaria,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009
Nepal,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078
Venezuela,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052
Gabon,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052
Palestinian Territories,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076
South Africa,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056
Iran,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129
Ivory Coast,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103
Ghana,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082
Laos,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174
Tunisia,111,4.592,0.9,0.906,0.69,0.271,0.04,0.063
Albania,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032
Sierra Leone,113,4.571,0.256,0.813,0,0.355,0.238,0.053
Congo (Brazzaville),114,4.559,0.682,0.811,0.343,0.514,0.091,0.077
Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144
Sri Lanka,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05
Iraq,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095
Mali,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056
Namibia,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064
Cambodia,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065
Burkina Faso,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128
Egypt,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107
Mozambique,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158
Kenya,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055
Zambia,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082
Mauritania,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093
Ethiopia,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146
Georgia,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215
Armenia,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028
Myanmar,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178
Chad,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06
Congo (Kinshasa),132,4.245,0.069,1.136,0.204,0.312,0.197,0.052
India,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093
Niger,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099
Uganda,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061
Benin,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067
Sudan,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082
Ukraine,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011
Togo,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101
Guinea,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094
Lesotho,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112
Angola,142,3.795,0.73,1.125,0.269,0,0.079,0.061
Madagascar,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049
Zimbabwe,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099
Afghanistan,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036
Botswana,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092
Malawi,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08
Haiti,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104
Liberia,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03
Syria,150,3.462,0.689,0.382,0.539,0.088,0.376,0.144
Rwanda,151,3.408,0.332,0.896,0.4,0.636,0.2,0.444
Yemen,152,3.355,0.442,1.073,0.343,0.244,0.083,0.064
Tanzania,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097
South Sudan,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106
Central African Republic,155,3.083,0.024,0,0.01,0.305,0.218,0.038
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076
